ID,Longitude,Latitude
SGBXG0,34.86302,-8.52509
GS3IA2,35.46748,-8.52497
TUDXY2,34.87978,-8.52435
FD99DI,34.88072,-8.52431
34T49O,34.95224,-8.52397
KWXN70,34.81303,-8.52387
NYXXGJ,35.31077,-8.52377
EM25M0,35.01566,-8.52332
QTNNXJ,35.06789,-8.5232
E1FVS4,34.86413,-8.52311
XG58BH,35.31527,-8.52296
SKNTVX,35.3162,-8.52288
0643YR,34.91574,-8.5228
IU3BWT,35.01561,-8.52243
C9NOAU,35.06933,-8.52211
K8Y3TQ,35.3026,-8.52198
KNTVM2,35.01861,-8.52174
M99ZGP,35.10693,-8.52162
CJTROE,35.09913,-8.52102
KSBEAU,35.10597,-8.52063
VL44IO,35.10588,-8.52055
RXERLQ,35.08958,-8.52045
G9AQ8D,34.92115,-8.52013
GCHGUW,34.91755,-8.52009
85XUW4,34.91398,-8.52009
622VRS,34.76644,-8.51978
74R0OO,35.33338,-8.51946
2E3RRH,35.31158,-8.51938
KY7IZD,35.29878,-8.51925
EKCSBE,35.46443,-8.51866
6C68Q1,34.76662,-8.51827
I516EV,35.33147,-8.51764
9UF3NF,35.12489,-8.51762
UZJ8Y7,35.3152,-8.51753
4MUB32,35.10582,-8.51694
3MUJXC,35.01718,-8.51684
S0E7NC,35.09398,-8.51682
0W9GKP,34.76004,-8.51619
MVJJ87,35.36791,-8.51612
3OP75Z,35.1085,-8.51608
DNQGB2,35.01744,-8.51552
1OP80N,35.01452,-8.51531
9PD5YL,35.36421,-8.51525
7JEC1A,34.92196,-8.51473
LGCQU7,34.75281,-8.51441
ZW7C34,34.75289,-8.51439
FB9K5J,35.36875,-8.51436
JFF9EJ,34.76005,-8.51356
C4UAGM,35.062,-8.51304
WZ2CM4,34.93596,-8.51153
XCUGMB,34.93935,-8.51135
ZVQ8W2,34.93548,-8.51117
UDBYW3,35.19588,-8.51098
1S67UK,34.96284,-8.5105
FVMMRL,35.06927,-8.5103
EY4A7S,34.9373,-8.50937
4WPB7J,35.06382,-8.50934
93D3O9,35.41195,-8.50894
EZW4V7,34.96551,-8.50872
R0S7TR,35.19698,-8.5084
2X92EN,34.99543,-8.50803
AK9L3S,35.1907,-8.50792
DMDXK1,35.34855,-8.5079
IZWZ1J,34.99272,-8.50714
68COOY,34.96819,-8.50689
CBTSLR,35.41375,-8.50155
204LGP,34.76792,-8.50097
TVFYHQ,35.37576,-8.49992
3TXEDI,35.05774,-8.49942
VYWMBX,35.05619,-8.49842
TO5C78,34.76874,-8.49828
3T675J,35.44374,-8.49773
6U3H07,35.05321,-8.49764
NBTUCR,35.4438,-8.49676
YVUZYH,35.42051,-8.4948
Y6KA2C,34.97971,-8.49435
Q6L4V3,35.44453,-8.49365
XMNMQO,34.97959,-8.49349
CPVVCG,35.18357,-8.49282
2NSN7W,35.1872,-8.49277
TDKBN6,34.98607,-8.4926
HTF3W8,35.42174,-8.49197
K8N9BP,35.00971,-8.49189
DXPAML,35.18333,-8.49134
GS4JJK,35.01054,-8.49099
H7Z5DN,35.45019,-8.49057
91VOWD,35.18541,-8.49051
PJN3FS,35.44869,-8.48959
YZ6CDB,35.01113,-8.48951
MJMV8L,34.98229,-8.48898
URCEXL,35.43528,-8.48889
RN0FKX,34.94139,-8.48696
F5EDBL,35.31152,-8.48587
PQ49XP,35.34708,-8.48441
FV66YU,35.34981,-8.48354
6HYPKD,35.30883,-8.48321
AB8AMK,35.18582,-8.48237
ARFVSF,34.98667,-8.48183
QJ1S3P,35.34792,-8.48174
UXL9IE,35.35242,-8.48083
WGAVGV,34.80977,-8.48077
A9VB3D,35.30152,-8.48035
WFVDGN,34.80905,-8.48025
W7AA1Z,35.04486,-8.47862
0XPO4E,35.04467,-8.47838
SRZ94R,35.38881,-8.47747
EM7IEL,35.04465,-8.47652
69SMP9,35.37151,-8.47648
KKFF93,34.83825,-8.4762
10U4DK,34.84185,-8.47617
MROSTO,35.04918,-8.4761
6CZRQ5,34.8364,-8.47527
D68LNW,35.30494,-8.47507
1SGG07,34.96918,-8.47447
UGF9BL,35.37409,-8.4738
PODIVY,35.37322,-8.4738
EO13UR,34.83367,-8.47347
W2NIH9,35.39414,-8.47305
MRY155,35.35963,-8.47274
JL0N10,35.41051,-8.4723
I90YS0,35.41233,-8.47226
QLXE69,34.83618,-8.47014
6P5VJZ,35.31582,-8.46961
MCYGQZ,35.01544,-8.46848
J7JUR8,34.84226,-8.46819
FG25Y5,34.84838,-8.46715
G2818M,35.41041,-8.46687
K4QAV5,35.40671,-8.46685
SOZ6I0,35.02002,-8.46571
VBN8T0,34.99731,-8.46564
1CS9GF,35.46679,-8.46546
YAK3IL,35.00037,-8.46474
F01G55,35.41124,-8.4642
VQNT63,35.00266,-8.46387
LPVGYX,35.01754,-8.46382
1FHSFN,35.31565,-8.46345
VGZMH6,35.01882,-8.4631
T65E5R,35.38931,-8.4622
P6JZAU,34.95709,-8.46082
I4A7GZ,34.99014,-8.45916
8E4XGY,34.89077,-8.4589
1RWP3X,34.99129,-8.45869
FVPGYO,35.39203,-8.45764
CPG3ER,35.39204,-8.45744
KESC4R,34.9952,-8.45568
AJCNAV,35.38921,-8.45493
J3Z0V5,34.75295,-8.45325
KKIS3B,34.98966,-8.45202
ZR8595,34.89351,-8.45141
FYGO7F,35.1334,-8.45126
IE8Y7E,34.76001,-8.447
A8QJ58,34.98494,-8.44692
QD037K,34.81809,-8.44675
2DZY1R,35.36622,-8.44674
VDEI5J,34.90494,-8.44623
IQ12DV,34.90451,-8.44616
KEHN6O,34.81823,-8.44613
MULG5F,34.83161,-8.44601
O1AJQU,35.13323,-8.44587
GVY50G,34.74276,-8.4448
CUKAHB,34.74279,-8.44479
EO4MJ0,34.88784,-8.44417
IG4IM0,34.98307,-8.44381
ZXOIJB,34.75115,-8.44379
HYKBWS,34.82997,-8.44347
ZRDAY0,34.82686,-8.44336
5N8SSN,34.76154,-8.44321
H27G9Q,34.75111,-8.44307
HWYIXK,34.74296,-8.44302
BUDIKU,34.89879,-8.44236
DV40OT,34.93646,-8.44172
MCK20U,34.93662,-8.44158
4ZFHXH,34.93682,-8.44106
X6JBUE,34.9363,-8.43362
RYA5QX,35.45184,-8.43338
AMLIX4,34.93313,-8.43338
RND9YG,35.45984,-8.42996
IX8VCI,35.41565,-8.42683
YOI2U7,35.41557,-8.42547
7HZ1C3,35.42961,-8.42513
0T6J16,34.94173,-8.42384
88WX1Q,35.41836,-8.42343
B17ARA,35.422,-8.42004
CCR1OL,35.42287,-8.41925
0Q5AVZ,34.97703,-8.41743
VR5PQ5,34.94243,-8.41674
NPF99U,34.94253,-8.41567
1FOI16,34.94253,-8.41564
LC62J1,34.94348,-8.41527
F10ZD2,35.38346,-8.41486
VTLCVE,35.45184,-8.41385
C1ECTX,35.40088,-8.41355
I4KHYE,35.38663,-8.41342
JDZAAA,35.45105,-8.41286
6CWL92,35.45105,-8.41284
I8GJJW,35.39906,-8.41243
O89MYC,35.39761,-8.4124
W67GAS,35.45832,-8.41237
PW4DEG,34.99781,-8.40827
UOX4EK,35.40462,-8.40812
HTOMH6,35.00182,-8.40742
PITZDO,34.93485,-8.40562
BPB5JW,35.46276,-8.40552
EQJ7NX,35.46195,-8.40474
1ZTZYD,35.39562,-8.40438
VOSZSM,34.93753,-8.40294
FLB6DK,34.93395,-8.40287
5JWN1P,35.40277,-8.40267
0IIEN2,34.94841,-8.40033
JKD7V8,35.44342,-8.39855
7MZA69,34.94286,-8.39844
JVYBD6,35.44761,-8.39829
7SZR9X,34.94291,-8.39759
C6IU5C,34.97751,-8.39688
PMWVAF,35.44416,-8.39583
3RS7QG,35.39726,-8.39502
DTXE7K,34.97834,-8.39501
YDCXR2,35.39725,-8.39493
XXH8U8,35.40304,-8.39271
NIBWX7,35.40151,-8.39225
IEEBI3,34.98555,-8.39156
A2QVHR,34.98459,-8.3906
G4PKFG,34.93167,-8.38285
A5B2AC,35.39794,-8.38127
JIRY3X,35.38304,-8.38106
Y1HHCE,35.37919,-8.3789
D7V1X2,35.38209,-8.37759
UQLTLM,34.98166,-8.37632
QUMX7R,35.39833,-8.37554
1TY4NA,34.95236,-8.37504
UZL7AF,34.95241,-8.37502
LDXQPI,34.94874,-8.37497
9HB0YG,35.40275,-8.37483
3AYNVT,35.40357,-8.37384
T6IFWK,35.44169,-8.37154
ZKK3R6,35.45844,-8.36989
YAGL15,35.45735,-8.36834
QTEWNL,35.453,-8.36667
0A0C93,35.40382,-8.36205
MLSPYM,35.40776,-8.3609
3KT0CQ,35.46163,-8.35972
HMRJYE,35.45966,-8.35794
0GMZ8C,36.12169,-8.35639
WA5TQV,35.56569,-8.35336
84YC8R,36.12003,-8.35168
7GT6N4,36.11722,-8.35157
CO900H,36.14853,-8.35154
ZK9DD8,35.55978,-8.35011
B593GB,36.16049,-8.34967
0VGVKY,35.56029,-8.34902
LWG45M,36.1814,-8.34839
M3C651,36.16496,-8.3474
5DGNRC,36.18227,-8.34718
YZ0YTN,35.58772,-8.34622
GAGWR3,36.18566,-8.34575
YNIW2X,36.14675,-8.34543
XQYWW7,36.14537,-8.34528
1AN5HL,36.18548,-8.34507
TAXQ3K,35.59431,-8.34471
MP16RR,35.59085,-8.34302
FOO5EP,36.17901,-8.34033
0NUFJ5,35.63679,-8.33519
EBC86X,36.13888,-8.33361
EYI2PJ,35.6354,-8.33236
KX3PWO,36.13363,-8.33195
DJ7RGN,35.63778,-8.33138
2WMGV7,36.16093,-8.33115
PPI7WA,36.13901,-8.32919
T5LWDQ,35.60837,-8.3287
LB7X74,36.13427,-8.32818
2ESKG0,36.13465,-8.32812
RDVTII,35.56978,-8.3273
XM2A9D,35.60941,-8.32661
X02ZIY,35.56886,-8.32624
NT6IE1,36.13365,-8.32561
OWCKIG,35.63515,-8.31988
5FOGFQ,35.63867,-8.31842
A4YZKE,35.58688,-8.31665
1Z64IJ,36.15126,-8.31586
PXMFRY,36.13269,-8.31472
7MF8W4,36.13269,-8.31472
5SFQ01,35.59246,-8.31427
DNJC29,36.15968,-8.31406
MG9T7T,36.12707,-8.31387
QU43VD,35.59071,-8.31336
0ZJO84,35.58687,-8.31283
FYV7MY,36.13334,-8.31259
5DA1HO,36.33898,-8.31094
FNR2SF,36.14947,-8.30943
HX9QED,36.12658,-8.30835
VIOSAH,36.1641,-8.30786
EVP3XG,36.1492,-8.3077
DEHV6Y,35.59308,-8.30259
AV2GHD,35.61234,-8.30207
NWEC2G,35.57429,-8.30206
UN4YBH,36.18477,-8.30067
GA7MG8,35.63869,-8.29954
JCTH11,35.57456,-8.29931
5BGXER,35.61256,-8.29917
FN5XXI,35.59332,-8.29903
7N161Z,35.63568,-8.299
DRDNGF,35.57506,-8.29894
CZCEIP,35.56649,-8.29856
X6AOCO,35.60083,-8.29842
3EMJ2X,35.60162,-8.29762
X9CZC4,35.61477,-8.29616
7IW9EM,35.63516,-8.29534
HHCCF7,36.18272,-8.29211
3HFICV,36.17805,-8.29121
6N8JGI,36.18447,-8.28987
DW34CR,36.17904,-8.28982
VD4GHQ,36.1796,-8.2897
A39MIE,35.64559,-8.28903
ZIU5E4,36.32017,-8.28826
ZS2Q11,35.58807,-8.28422
FIFJRA,35.58809,-8.28417
A7UANH,35.58884,-8.27969
S4BOD8,36.1694,-8.2789
RQJ08T,35.58959,-8.27807
V33UFH,35.58974,-8.27804
AKAZUQ,35.58807,-8.2775
18Y0P1,35.58807,-8.2775
QL9E6V,36.3472,-8.27586
NIB2V2,36.35168,-8.27414
PHTZQX,36.34621,-8.27409
W3Z10I,36.16925,-8.27409
98HWQD,36.17257,-8.27373
CCAWDX,36.33533,-8.27307
GO68LJ,35.9488,-8.269
U56EXQ,35.95045,-8.26718
5PTPLV,35.94849,-8.26705
XKBQJP,35.95338,-8.26257
37VHCQ,35.95255,-8.25921
7FM5Q6,35.95456,-8.25472
M96HTF,34.98852,-8.24812
Q0PGMC,35.95655,-8.24788
UMEJ2V,35.95651,-8.24781
GTY9LO,34.98933,-8.24621
Y7YG5D,34.98666,-8.2462
XN33KQ,34.94023,-8.237
E5D6MM,35.00007,-8.23373
4Z6FKL,35.93625,-8.23305
MP3MOR,34.93743,-8.23249
SAC65R,35.93632,-8.23202
ZLDYHE,34.94137,-8.23187
FI9ZCP,34.94265,-8.2288
OJ1PRV,34.99897,-8.22653
FS4VU2,35.00355,-8.22575
0OBJO6,35.00531,-8.22558
BOJKBY,34.92933,-8.21256
NJTCCJ,34.92767,-8.21063
HWK66F,34.92762,-8.20979
KOYVFE,35.9611,-8.20517
5UJI3U,35.95106,-8.20328
JE8X4M,34.93478,-8.20164
D76A4J,35.95749,-8.20048
AA3MXS,34.93019,-8.19983
3J7HC7,34.92981,-8.19923
ZXFVH4,35.94885,-8.19904
I3SIC1,34.94927,-8.19904
DQSY9V,35.96379,-8.19889
PVBCLY,35.96106,-8.19888
TFCLXC,35.96373,-8.1988
AM674N,35.96289,-8.19795
FKF6CD,35.95911,-8.19704
VXD83P,35.95816,-8.19345
1L9RBD,35.98761,-8.19207
7YHND2,35.98883,-8.19049
JX11ZY,35.94528,-8.19032
CRQXST,35.9453,-8.19026
WVM920,35.94026,-8.19005
68UIBF,35.95994,-8.18992
GDA4GV,35.94514,-8.18958
YFA4Q0,35.99083,-8.18929
0VP7LV,35.91437,-8.17713
FMHFUT,35.88924,-8.17684
VU6MLT,35.91504,-8.17654
12Y1NU,35.88833,-8.17594
TYWK6Z,35.88805,-8.17585
VHW9P9,35.48078,-8.1743
217S24,35.91348,-8.17338
P4ZT5Y,35.88738,-8.17231
M0TX1D,35.9132,-8.1713
QXYK05,35.92353,-8.1705
K4BXG6,35.92009,-8.16867
S1NG5A,35.85465,-8.16742
KQEI0K,35.86609,-8.16727
CJ27K0,35.85789,-8.16509
WT9MD2,35.86641,-8.16499
KQQAWB,35.86328,-8.1649
ZU9TFU,35.92193,-8.16392
QAY0WI,35.8694,-8.16367
FJT0SR,35.86838,-8.1633
4IU8WM,35.86841,-8.1632
VRM0F9,35.92247,-8.16236
X6FVR9,35.92252,-8.1623
HVT0LI,35.8626,-8.16121
532BPY,35.47035,-8.15621
R26XHM,35.83869,-8.15013
36STTX,35.53212,-8.14946
DY00V5,35.52667,-8.14939
GYZYZS,35.84048,-8.14739
LVAJ9I,35.83742,-8.14716
ENGZ6S,35.85772,-8.14714
B6WT53,35.85417,-8.1466
8BPX82,35.84064,-8.14599
8GE709,35.88843,-8.13773
K3W8A6,35.89732,-8.12775
MEG0UR,35.85971,-8.12302
D43PS5,35.85791,-8.12201
CAJ06P,35.90108,-8.1155
A2GS4A,35.55221,-8.11264
Q2L1FQ,35.86659,-8.11254
T1T598,35.90699,-8.11086
6S2RS0,35.90441,-8.11025
DO3K4V,35.90651,-8.10971
DMXBHM,35.86315,-8.10837
FNUHXV,35.52293,-8.10793
ZMT2D3,35.8616,-8.10711
T5F5ZX,35.85941,-8.10231
X20SRY,35.88855,-8.10183
2G1GZM,35.85855,-8.10174
QQ9CG0,35.88841,-8.10119
VHBOIJ,35.85638,-8.10035
YUNGET,35.85757,-8.09885
7R6IMW,35.50076,-8.09329
NDSI13,35.49894,-8.09148
J3OK1Y,36.07397,-8.08803
NC848X,35.54149,-8.08737
F4K68D,35.54156,-8.08734
93YXDY,35.99199,-8.0865
OTXKEE,36.07663,-8.08628
4PDU21,35.99062,-8.08613
OIUYZL,35.49788,-8.08606
STPMHB,36.09036,-8.08524
ZBM8ZF,36.09108,-8.08277
0AST1C,35.99011,-8.08186
8Z9ZMS,36.05054,-8.08173
R4GJDI,36.0724,-8.08137
KBWCWF,36.07228,-8.08133
AWXG5B,35.28116,-8.08085
A8XBKQ,36.07225,-8.07954
GZD53O,35.95686,-8.07875
ETHYTD,36.88163,-8.07866
4ZLINL,36.88891,-8.07786
APZD7G,36.0796,-8.07737
LEI5SN,37.26971,-8.07719
TEGU8J,36.0835,-8.07718
4FUMQ7,35.21574,-8.07573
7MYC91,37.27129,-8.07572
5YBMTS,35.95395,-8.07558
TVA2SZ,36.88432,-8.07511
2059I8,37.3307,-8.07457
9NIHRJ,35.95077,-8.07444
WB9RDH,37.26464,-8.07436
RKESK8,37.27396,-8.0742
0FY88U,36.88151,-8.07417
F0R7ES,37.29367,-8.07408
ISTRRE,37.26938,-8.07403
W7QLMV,36.08735,-8.07372
MWXL1Q,37.32933,-8.07364
2DVNAI,35.94611,-8.07354
K4FJXR,37.32924,-8.07345
MXYU88,37.33758,-8.07341
0G2HOE,35.9547,-8.07333
5PP4FH,37.28986,-8.07329
4DHHS2,36.00378,-8.07296
GB79U1,37.27001,-8.07284
B4KO05,36.07727,-8.07269
LE9G34,35.94606,-8.07256
EZXVMM,37.29476,-8.07242
7K3IKD,37.26905,-8.07192
JB3ENZ,37.31305,-8.07174
P6W80C,37.33161,-8.07169
M845GE,37.3126,-8.07154
7X32QY,37.26804,-8.07146
AT9CQW,37.26734,-8.07139
XJQT3N,37.33496,-8.07111
SQL614,35.96875,-8.07101
TUYJJO,35.96882,-8.071
GC145A,35.97181,-8.07081
6W9VE2,37.33063,-8.07076
G9PANG,37.31468,-8.07044
T4J5G9,37.26929,-8.07029
95VP32,35.9671,-8.06992
Z4OTHX,37.28848,-8.06973
47YFJI,35.33077,-8.06967
LTRVO9,35.97266,-8.0696
5MPJIB,35.3308,-8.06959
TWHS4T,37.2941,-8.06959
L0N2Y0,37.33168,-8.06956
EJJ0FO,37.33065,-8.06947
OC5PTR,36.91877,-8.06912
QW16MM,36.90232,-8.06894
JWZXTS,37.31428,-8.06894
FX5W9H,36.89952,-8.0689
F9LWCM,37.29206,-8.06851
9WRCPS,35.97401,-8.06838
ST3ZA1,35.97403,-8.06835
6AQLJA,37.29442,-8.0682
40D4ZP,37.31659,-8.06769
U98Z4P,37.31217,-8.06764
VTERJ9,37.29077,-8.06712
JYU3FF,35.32567,-8.06671
IRWSS5,36.84398,-8.06664
6H6W2V,36.83761,-8.0666
2MHKM1,37.29113,-8.06521
C17EJI,36.84303,-8.06486
7L9KGG,37.31479,-8.06481
58GQRE,37.31058,-8.06408
EJGDUW,36.85936,-8.06227
JTRQIL,35.32726,-8.06212
IU7NSO,35.32666,-8.062
0RQ2JW,36.85753,-8.06135
TQ8RRE,36.88029,-8.06068
T435SS,36.8584,-8.06053
1DCFNU,36.91857,-8.06012
UTDILI,36.87658,-8.05975
HBJ2JT,36.85375,-8.05681
4GZXST,36.85469,-8.05508
5ISTM9,35.29005,-8.05485
8M0UVW,37.32976,-8.05416
0UNYEL,37.32751,-8.05288
Y8EPQ7,36.01641,-8.05272
9Z9GE7,35.22976,-8.05227
TQNOIW,37.3285,-8.05179
886VTR,35.367,-8.05168
VWE4JF,37.3335,-8.05148
IWCVWL,36.94985,-8.05023
1HOC1M,37.32953,-8.05015
3LAQ1T,35.23135,-8.05003
KJ8X05,37.28922,-8.04994
1X8BRN,37.27443,-8.0497
V3EFW2,37.29451,-8.04939
SQK4DO,37.3337,-8.0493
4GDBPS,37.3337,-8.0493
LQB546,37.29178,-8.04887
O7V2UZ,37.27046,-8.04869
EGVU4T,36.01826,-8.04865
7BQN1S,36.01851,-8.04839
P48J76,37.32899,-8.04807
S7CXLI,37.28939,-8.04806
LME0XC,37.33107,-8.04789
8FAO46,37.29568,-8.04762
UQOM0Y,37.3177,-8.04752
XNLV7J,37.32104,-8.04729
OYH0PO,36.00823,-8.04712
D42Z3O,37.27386,-8.04707
2PO8KW,37.2679,-8.04705
KZI7GY,37.27033,-8.04697
WDWMYO,37.32726,-8.04688
U9LJK2,37.31737,-8.04688
T7D2RY,37.29568,-8.04655
6C2U2X,37.3292,-8.04651
T77VA1,37.31579,-8.04646
CAI7D2,37.315,-8.04605
NWB2WC,36.00981,-8.04574
9Q8SQA,37.3196,-8.04561
QP4P80,37.27321,-8.04547
VGA1VN,37.29259,-8.0449
6BAIAD,36.00718,-8.04466
0XR7JC,37.28904,-8.04402
6LXY89,37.31699,-8.04395
SB084T,37.28716,-8.04369
FA99A4,37.27244,-8.04347
IHC42M,37.31812,-8.04345
A58FKP,37.3218,-8.04261
6W08KM,37.31355,-8.04236
P01Y9G,37.31355,-8.04236
ZQ4PUV,37.27168,-8.04191
0VCAE4,37.26892,-8.04169
UK4ES4,37.27163,-8.04165
V5YLUF,36.84509,-8.0414
L5CZKS,36.00908,-8.04056
8SJZM7,35.22442,-8.0403
CNDMVH,36.00909,-8.03887
5IEAX4,36.85242,-8.03794
91VFVV,36.84879,-8.03791
ZLL1YZ,36.03255,-8.03769
82AEBL,36.03254,-8.03769
T7G2RN,36.01271,-8.03519
VGD3GN,36.88506,-8.03373
X8RTMD,36.96163,-8.03347
KX6ECQ,36.00894,-8.03249
TVKHF5,37.31451,-8.03141
CPGI53,35.2938,-8.03127
NUB5TU,36.88052,-8.03095
JYWUHL,37.3361,-8.02938
QF9303,37.31612,-8.02893
HG7BRO,36.88768,-8.02839
QY70JW,37.31163,-8.02816
BC7GR8,37.33718,-8.02783
6IHR3H,37.31303,-8.02678
LPN67N,37.33667,-8.0262
VERMEF,37.31617,-8.02595
XUOFQX,37.31136,-8.02561
Q2SRNN,36.88399,-8.02559
IQ8MR0,37.31706,-8.02555
MOFDMK,37.31706,-8.02555
VDRUQG,37.31165,-8.02538
02EF9G,37.31808,-8.02523
JJ8PW7,37.29659,-8.02501
7614DL,37.2923,-8.02381
O8QAEI,37.33225,-8.02358
T2SG50,37.3375,-8.02355
HBN94E,37.33207,-8.02338
WK6CR4,37.29794,-8.02312
VO1277,35.28446,-8.02309
FOXK3P,36.90486,-8.02306
687BAG,37.26745,-8.02242
3CRH0A,35.28636,-8.02225
7YAPG8,37.29423,-8.02208
0GJZV9,37.29824,-8.02184
0BJ3ZR,36.86016,-8.02181
YMV7H1,37.29232,-8.02142
EW4JST,36.8358,-8.02133
5K4HLF,37.27035,-8.02105
GEE8RB,37.26601,-8.02057
UE1ZJA,37.33578,-8.0205
BGVF46,36.89847,-8.02027
D4JTOA,36.84741,-8.01992
YPGAT9,36.95764,-8.01991
RW3DAH,37.26981,-8.01984
NOMTCL,37.29182,-8.01976
BLYA0G,36.84194,-8.01975
5HOSKS,37.29085,-8.01964
83ARQZ,37.27105,-8.01953
